Entity,Code,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Greece,GRC,4.756836,8.9546585,4.604027,3.5520935,9.922806,22.222717,16.809845,24.759613,-4.362274,24.333374,21.18634,7.9891205,0.8403473,-29.855255,-1.4526672,-4.5960083,2.2101135,4.7260895,7.2953186,11.941437,-0.8019409,22.042664,14.744476,22.847122,10.627136,0.23706055,7.764618,3.5635376,4.2047424,8.409515,5.5761414,10.627014,21.116547,-2.930664,20.154205,6.59317,-1.4960632,15.302399,-0.057006836,0.08111572,7.6683044,16.434448,-15.257141,-21.219116,-25.328125,-1.1030884,-27.158722,-31.928802,-13.436005,-3.5401917,-5.766449,-36.192688,49.559265,-7.7577515,-38.015198,5.3678894,https://public.flourish.studio/country-flags/svg/gr.svg
Hong Kong,HKG,2.2238102,5.1669807,2.7352867,6.371849,3.181736,2.5779839,6.594429,2.047989,1.3554459,-3.4304276,9.963879,5.192833,2.7330475,1.7461014,1.6328735,5.013359,7.9411163,5.392685,2.319786,3.7054672,4.82267,10.428589,17.629578,9.210373,-3.501709,5.031662,25.53952,15.5733795,-17.409409,12.587723,-0.08961487,2.1020966,3.5406647,2.3879852,8.853577,51.9449,-5.9877014,7.9729004,30.12149,-11.436462,15.660065,18.261505,-21.16101,26.004272,12.1475525,7.8746643,-12.583282,8.481049,-7.769623,9.212311,8.553436,24.312958,4.1426697,-19.013702,-86.68921,-14.922607,https://public.flourish.studio/country-flags/svg/hk.svg
Hungary,HUN,2.4135132,-8.517197,6.6927643,13.138809,15.397934,6.93367,7.1396027,18.942673,7.6265106,14.715027,18.42987,14.872253,21.090546,-3.1896362,1.067627,-3.4233398,1.4393005,-12.518982,4.791382,2.7398071,-4.2324524,4.6777344,-14.974884,-9.984131,-6.4096375,-21.431976,-12.899536,-7.8229675,1.6092834,3.2400818,4.877899,-6.5084534,4.514145,-1.2856598,-8.664459,7.171875,-2.302185,8.606598,0.32855225,11.793579,-2.246399,-8.485901,-7.371765,-26.44931,4.076721,-6.737152,-17.798615,-11.969818,-1.951294,12.4687805,3.9942322,13.615509,2.000061,-0.12837219,-6.681656,8.3459015,https://public.flourish.studio/country-flags/svg/hu.svg
India,IND,16.453308,12.975952,35.34558,65.96527,-23.486267,22.88208,44.51129,8.322937,54.957886,47.92682,40.578003,49.974976,9.260559,67.680786,31.588013,119.86719,14.915649,71.763794,76.45972,87.5426,107.63867,117.07373,140.58948,161.05518,141.39233,107.07593,133.70361,61.549072,115.78369,209.6206,134.81763,161.1836,152.85059,97.89136,185.5437,20.222656,123.715576,138.43042,236.03882,273.07593,190.3335,373.42822,324.08203,444.18945,225.67383,271.29492,420.23096,185.83545,464.1787,217.50684,339.78174,257.83984,476.56494,103.49512,-572.5215,855.209,https://public.flourish.studio/country-flags/svg/in.svg
Indonesia,IDN,-2.2403793,-1.8613281,3.672371,10.916481,4.974304,3.2444458,6.59626,12.85273,8.234016,29.07167,10.2512665,52.04013,29.259735,34.190002,21.539856,22.05545,6.0842285,17.660583,35.084442,22.058868,23.048828,24.090698,24.574951,49.780945,51.48163,50.26422,57.211914,49.195435,37.036743,67.99292,60.921753,87.20386,-32.010254,89.51233,75.02307,74.93323,37.833008,111.031494,-15.77063,36.98047,33.001465,98.66968,10.45166,46.781616,137.9524,128.88159,63.747314,-83.172,19.991821,50.099487,-14.611572,87.545166,163.57153,130.19092,-210.42871,40.718506,https://public.flourish.studio/country-flags/svg/id.svg
Iran,IRN,8.367455,10.196304,11.15477,12.021339,24.763214,15.290512,21.86708,41.83464,32.107986,45.697693,39.61789,48.091614,-15.906616,34.740906,-32.501434,-0.034484863,51.52298,86.55829,45.26532,53.635742,-44.071472,41.221375,11.548035,65.87286,88.38855,74.191345,82.55884,-76.60547,118.751526,44.97943,91.487305,43.746094,44.798218,102.89221,69.02258,94.65344,122.96057,25.414429,169.12976,101.288574,168.52173,135.56348,98.40137,65.19751,27.815186,107.74072,19.00293,82.99365,121.818115,-10.938232,115.48462,114.4563,116.99121,91.90674,104.53174,75.40332,https://public.flourish.studio/country-flags/svg/ir.svg
Ireland,IRL,8.418434,6.5006638,13.7659,0.8675537,-20.999222,3.927063,3.7398376,4.380226,1.0839767,-4.964203,1.5255737,5.139076,3.7859116,9.296326,-3.396309,-2.502205,-0.53144073,-1.3414764,-0.74518585,4.233734,7.724182,1.9042511,-1.0704956,3.7893677,5.5615845,4.0583344,0.6227951,2.775505,4.4778824,3.134575,7.4993896,5.97435,10.009628,9.20639,6.474472,10.820633,-2.2053375,-4.0106506,1.6559753,6.589737,2.2876434,4.512436,-3.3441467,-18.573212,0.6483307,-12.450333,-2.4804382,-4.6720886,-2.7465973,6.425995,8.237961,-3.2630615,0.70381165,-4.385483,-16.010239,4.9315186,https://public.flourish.studio/country-flags/svg/ie.svg
Israel,ISR,1.6365967,9.093227,0.9302101,6.85841,4.0174522,8.565643,-3.8002777,4.5065536,0.30864716,2.0165482,1.8950348,3.8564453,7.433258,2.9232101,1.322319,1.5738068,7.5910187,0.06791687,4.130989,-7.688957,5.0872345,7.470009,7.9555435,5.505783,4.859192,2.1329956,21.850601,13.178665,7.2113037,21.633774,7.0906982,18.91333,11.580078,8.454361,-13.89473,-0.12573242,4.418106,7.019455,4.761627,1.1403961,-0.5947418,11.259216,7.4012146,-7.6436768,9.9823,4.585785,11.967712,-15.3333435,-7.5822144,13.420044,4.149475,5.598938,4.163971,6.8791504,-19.161407,2.891693,https://public.flourish.studio/country-flags/svg/il.svg
Italy,ITA,73.49463,89.364075,88.224365,96.464966,128.8457,77.460815,65.73071,80.166626,-3.3237305,-43.80542,93.56091,-28.47351,54.64612,57.357666,-42.471558,-29.483032,-40.648438,-31.406494,19.043335,-2.4345703,38.83911,78.51306,39.423462,70.81433,37.342285,26.777588,-8.44165,-38.645874,-13.175659,95.601074,-14.684692,33.50537,44.478638,42.440063,29.161743,-11.12207,4.188965,71.37341,25.34314,19.844727,-16.019531,-32.554688,-71.293945,-175.83704,40.927124,-54.606445,-80.798584,-137.22485,-116.84546,82.55127,10.986816,33.40625,-16.350586,-30.54358,-173.49646,120.184326,https://public.flourish.studio/country-flags/svg/it.svg
Japan,JPN,179.01648,322.9779,249,351.69385,333.49146,176.573,158.83032,453.07202,-56.19287,-199.35742,116.04736,65.98364,98.54541,103.153564,-185.50708,-72.69629,-212.21973,9.406738,324.96948,-72.20532,-7.6845703,38.980225,282.5774,125.895996,191.10547,54.308105,73.85889,-41.97754,252.36963,163.9126,89.916016,15.856445,-144.63525,138.58545,59.405273,-47.49463,32.90869,179.89404,-78.049805,34.95996,-71.76465,44.213867,-29.370605,-573.67334,263.542,50.259277,348.04395,-55.750977,-136.70508,-143.10938,-92.231445,-5.695801,-112.211426,-165.58984,-363.84766,91.70166,https://public.flourish.studio/country-flags/svg/jp.svg
